Number;IP;Time;Lifetime;Sendoptime;Recetime;Min;Max;Avr;PacketLost;FailsTimeOut;FailsDisconnect;FailsNoConnect;FailsSeqError;FailsInterError;FailsOtherError;PacketLate;RTTnumber;MinPosSD;MaxPosSD;AvrPosSD;MinPosDS;MaxPosDS;AvrPosDS;MinNegSD;MaxNegSD;AvrNegSD;MinNegDS;MaxNegDS;AvrNegDS;MinSDdelay;MaxSDdelay;AvrSDdelay;MinDSDelay;MaxDSDelay;AvrDSDelay;PacketSDLost;PacketDSLost;PacketUnkLost
1;;6/1/2017 11:09:28 AM;300;5000;4447;9;75;15;11;553;0;0;0;0;0;0;4447;1;52;3;1;18;1;1;40;9;1;20;1;19;71;0;3;13;0;0;553;0
2;;6/1/2017 11:14:29 AM;300;5000;5000;9;65;15;0;0;0;0;0;0;0;0;5000;1;45;2;1;33;1;1;39;8;1;33;1;19;38;0;1;26;0;0;0;0
3;;6/1/2017 11:19:29 AM;300;5000;5000;9;40;15;0;0;0;0;0;0;0;0;5000;1;25;2;1;7;1;1;19;8;1;7;1;0;0;0;0;0;0;0;0;0
4;;6/1/2017 11:24:29 AM;300;5000;5000;9;55;16;0;0;0;0;0;0;0;0;5000;1;43;3;1;11;1;1;40;10;1;11;1;21;35;0;1;3;0;0;0;0
5;;6/1/2017 11:29:29 AM;300;5000;4999;10;53;16;0;1;0;0;0;0;0;0;4999;1;27;2;1;21;5;1;30;8;1;21;5;20;52;0;1;13;0;1;0;0
6;;6/1/2017 11:34:29 AM;300;5000;5000;9;58;15;0;0;0;0;0;0;0;0;5000;1;41;2;1;21;1;1;39;8;1;22;1;23;56;0;2;13;0;0;0;0
7;;6/1/2017 11:39:29 AM;300;5000;4999;10;64;15;0;1;0;0;0;0;0;0;4999;1;46;2;1;16;1;1;50;8;1;16;1;22;38;0;3;8;0;1;0;0
8;;6/1/2017 11:44:29 AM;300;5000;5000;9;65;15;0;0;0;0;0;0;0;0;5000;1;46;2;1;11;1;1;50;8;1;11;1;39;39;0;3;3;0;0;0;0
9;;6/1/2017 11:49:29 AM;300;5000;5000;9;59;15;0;0;0;0;0;0;0;0;5000;1;45;2;1;11;1;1;40;9;1;11;1;27;27;0;3;3;0;0;0;0
10;;6/1/2017 11:54:29 AM;300;5000;5000;10;63;15;0;0;0;0;0;0;0;0;5000;1;48;2;1;21;2;1;40;9;1;21;2;21;50;0;3;13;0;0;0;0
